,author_id,username,author_followers,author_tweets,author_description,author_location,text,created_at,retweets,replies,likes,quote_count,sentiment,confidence
0,1201616029383823360,Umran_Jeddah,1152,1088,"‏‏‏فرع جدة - عضو الاتحاد الدولي للمعماريين UIA
فرع تابع ‎@saudi_umran
المملكة العربية السعودية",,"RT @dradelzahrani: I'll speak about #jeddah_colorwalk  
How big ideas have small beginning!",2021-10-17 01:29:35+00:00,6,0,0,0,neutral,0.5578006505966187
1,2953640600,eng_bakhsh,193,981,‏المدير التنفيذي للبحر الاحمر للاستشارات الهندسية RSC وعضو مجلس الادارة لشركة الدليل لنظم المعلومات DIS .اتحادي العشق💛,"جدة, المملكة العربية السعودية","RT @dradelzahrani: I'll speak about #jeddah_colorwalk  
How big ideas have small beginning!",2021-10-17 01:12:06+00:00,6,0,0,0,neutral,0.5578006505966187
2,616964813,Anaserafi,23796,24480,"‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏مهندس إستشاري

عضو مجلس إدارة‎‎‎‎ طيبة للاستثمار‎‎‎‎
رئيس اللجنة العقارية غرفة مكة
رئيس الجمعية السعودية لعلوم العمران بجدة
وجمعية ‎عيون جدة",,"RT @dradelzahrani: I'll speak about #jeddah_colorwalk  
How big ideas have small beginning!",2021-10-17 01:06:55+00:00,6,0,0,0,neutral,0.5578006505966187
3,1030957954491666433,Mohamme42998229,84,1427,Master of Architecture Specialized and interested in urban design My love for spaces and their design to create an  integrated urban beauty,Kingdom of Saudi Arabia,"RT @dradelzahrani: I'll speak about #jeddah_colorwalk  
How big ideas have small beginning!",2021-10-16 17:30:29+00:00,6,0,0,0,neutral,0.5578006505966187
4,1063352815920267264,n7m_0,192,1594,نواف الحمياني || معماري ومهتم بالتصوير الفوتغرافي📸,Jeddah,"RT @dradelzahrani: I'll speak about #jeddah_colorwalk  
How big ideas have small beginning!",2021-10-16 15:17:44+00:00,6,0,0,0,neutral,0.5578006505966187
5,924328641055612929,ArchiNet_me,2889,3094,"تواصل، شارك وألهم 
شبكة المعماريين و مصممي الداخلي
Connect, Share & Inspire
Architects & Interior designers Network
https://t.co/AbiZgKUO05",Kingdom of Saudi Arabia,"RT @dradelzahrani: I'll speak about #jeddah_colorwalk  
How big ideas have small beginning!",2021-10-16 13:33:37+00:00,6,0,0,0,neutral,0.5578006505966187
6,1179349419419938817,dradelzahrani,1900,289,Dean of @ap__edu at @KAUWEB | Initiator of National Urban Design Studio at ‎‎‎‎‎‎‎@SaudiMOMRA | ‎‎‎‎‎‎‎‎@VTCAUS @BUalumni | #jeddah_colorwalk (personal account),"Jeddah, Kingdom of Saudi Arabi","I'll speak about #jeddah_colorwalk  
How big ideas have small beginning! https://t.co/KwhIAylKC3",2021-10-16 13:31:35+00:00,6,1,12,0,neutral,0.5284938216209412
7,1229501516765114369,aseelmalti,102,74,معمارية، باحثة، قائدة، محبة للعمل التطوعي، ومختصة في الإستدامة LEED O+M (لا أبرَحُ حتى أبلغ),Jeddah,RT @dradelzahrani: My honor being part of #IFLA2020 World Congress sharing our successful story of #jeddah_colorwalk #placemaking #leadersh…,2021-10-15 21:34:42+00:00,7,0,0,0,neutral,0.8904314637184143
8,1105595205254811648,Obhur_now,7063,29181,"‏‏إن الله يديم نِعَم الحامدين ، فالحمد لله حمدًا كثيرًا طيبًا مباركًا فيه 💙.
التعليقات مسئولية اصحابها",,RT @ojksa21: الأمير #سعود_بن_جلوي اختتم مبادرة #كورنيش_الألوان على واجهة جدة البحرية التي نفذتها جمعية عيون جدة الأهلية بالتعاون مع #أمانة_…,2021-10-10 16:02:22+00:00,8,0,0,0,neutral,0.7681035399436951
9,1242126557570883590,norah36481159,652,15981,فنانه🙄 ام وزوجة 😲 جداويه 🤷‍♀️هواياتي المشي 🤗سباحة 🏊🏾🏃🏼‍♂️غوص رسم خزف طين 🎨🏸🏐كرة طائرةً☔️🎼🚴🏽‍♂️ودراجتي وعشقي للموسيقى 😂باقي طيران ( وفروسية,"جدة, المملكة العربية السعودية",RT @ojksa21: الأمير #سعود_بن_جلوي اختتم مبادرة #كورنيش_الألوان على واجهة جدة البحرية التي نفذتها جمعية عيون جدة الأهلية بالتعاون مع #أمانة_…,2021-10-10 13:17:39+00:00,8,0,0,0,neutral,0.7681035399436951
10,881915935,Ageel_h_alhatmi,1238,32392,"‏‏‏‏‏روحي وما ملكت يداي فداه
وطني الحبيب وهل أحب سواه",المملكة العربية السعودية🇸🇦🕋,RT @ojksa21: الأمير #سعود_بن_جلوي اختتم مبادرة #كورنيش_الألوان على واجهة جدة البحرية التي نفذتها جمعية عيون جدة الأهلية بالتعاون مع #أمانة_…,2021-10-10 12:56:26+00:00,8,0,0,0,neutral,0.7681035399436951
11,1438916615609933826,Wleed08957899,67,10736,محب للسلام,,RT @ojksa21: الأمير #سعود_بن_جلوي اختتم مبادرة #كورنيش_الألوان على واجهة جدة البحرية التي نفذتها جمعية عيون جدة الأهلية بالتعاون مع #أمانة_…,2021-10-10 08:24:26+00:00,8,0,0,0,neutral,0.7681035399436951
12,310480791,hamzappll,457,3108,,,RT @ojksa21: الأمير #سعود_بن_جلوي اختتم مبادرة #كورنيش_الألوان على واجهة جدة البحرية التي نفذتها جمعية عيون جدة الأهلية بالتعاون مع #أمانة_…,2021-10-10 08:18:39+00:00,8,0,0,0,neutral,0.7681035399436951
13,350397841,samir_barqah,25673,86467,إنْ ضَاقَتْ بِكَ الأحْوَالُ يوما# فبِالأسْحَارِ صَـلِّ عَلَـى محمد# يُصَلِّي اللهُ رَبُّ العَرْشِ عَشْـرا # عَلَى عَبْدٍ يُصَلِّى عَلَـى محمد اللهم صل وسلم عليه,جده/ مكة المكرمة,RT @ojksa21: الأمير #سعود_بن_جلوي اختتم مبادرة #كورنيش_الألوان على واجهة جدة البحرية التي نفذتها جمعية عيون جدة الأهلية بالتعاون مع #أمانة_…,2021-10-10 07:41:44+00:00,8,0,0,0,neutral,0.7681035399436951
14,616964813,Anaserafi,23796,24480,"‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏مهندس إستشاري

عضو مجلس إدارة‎‎‎‎ طيبة للاستثمار‎‎‎‎
رئيس اللجنة العقارية غرفة مكة
رئيس الجمعية السعودية لعلوم العمران بجدة
وجمعية ‎عيون جدة",,RT @ojksa21: الأمير #سعود_بن_جلوي اختتم مبادرة #كورنيش_الألوان على واجهة جدة البحرية التي نفذتها جمعية عيون جدة الأهلية بالتعاون مع #أمانة_…,2021-10-10 07:33:37+00:00,8,0,0,0,neutral,0.7681035399436951
15,1125460212822024193,ojksa21,3359,442,مجتمعنا مسؤوليتنا. اجتماعية • خيرية • توعوية | جدة - الصيرفي ميجا مول - الدور الاول | تصريح وزارة الموارد البشرية والتنمية الاجتماعية رقم (٥٨٢)..,"جدة, المملكة العربية السعودية","الأمير #سعود_بن_جلوي اختتم مبادرة #كورنيش_الألوان على واجهة جدة البحرية التي نفذتها جمعية عيون جدة الأهلية بالتعاون مع #أمانة_جدة بمشاركة 10000 آلاف متطوعاً ومتطوعة، بحضور معالي أمين جدة صالح التركي.
وتهدف إلى تحسين المشهد البصري في الميادين والمحاور الرئيسية.
#jeddah_colorwalk https://t.co/SZ89PlSUV3",2021-10-10 06:28:51+00:00,8,4,20,0,neutral,0.777381956577301
16,1063352815920267264,n7m_0,192,1594,نواف الحمياني || معماري ومهتم بالتصوير الفوتغرافي📸,Jeddah,RT @dradelzahrani: My honor being part of #IFLA2020 World Congress sharing our successful story of #jeddah_colorwalk #placemaking #leadersh…,2021-10-07 20:50:12+00:00,7,0,0,0,neutral,0.8904314637184143
17,3930826461,Felwahalzahrani,794,6479,"كاتبة رأي في صحيفة اليوم , أخصائية توحد وتعديل سلوك ،صاحبة أول فكرة لمشروع  شاطئ نسائي حكومي في السعودية..( فكر حُر)",الظهران,RT @DeafLifeSA: #مجموعة_حياة_الصم_الثقافية تشكر #الدكتور_عادل_الزهراني #عميد_كلية_الهندسة_والتخطيط صاحب فكرة ممشى الألوان والمسؤول عنه والذ…,2021-09-14 12:56:37+00:00,30,0,0,0,neutral,0.7453279495239258
18,4173989487,safiah_najash,316,2119,سعيدة !وأقدم السعادة!أسعى لتطوير نفسي !وتطويرغيري! مهتمة بتقديم الاستشارات وحل المشكلات! مدرب معتمد في التنمية البشرية شعاري ( من لم تكسبه لاتخسره),"جدة, مكة المكرمة","RT @vaaorgsa: بدعوة كريمة من جمعية عيون جدة وبالتعاون مع أمانة محافظة جدة شاركت #جمعية_سفراء_التطوع في تيسير مبادرة ""#كورنيش_الألوان"" بالوا…",2021-09-02 17:38:18+00:00,4,0,0,0,neutral,0.7698473930358887
19,1363949832663166976,Bmbd_1421,13,36,"محبة للخير🤍
تخصصي كيمياء حيوية تطبيقية 👩🏻‍🔬",,"RT @vaaorgsa: بدعوة كريمة من جمعية عيون جدة وبالتعاون مع أمانة محافظة جدة شاركت #جمعية_سفراء_التطوع في تيسير مبادرة ""#كورنيش_الألوان"" بالوا…",2021-09-02 17:26:44+00:00,4,0,0,0,neutral,0.7698473930358887
20,1171816000993550337,rozabakhsh,14,243,Pakistan 🇵🇰 Palestine 🇵🇸💙#freepalestine,Jeddah,"RT @vaaorgsa: بدعوة كريمة من جمعية عيون جدة وبالتعاون مع أمانة محافظة جدة شاركت #جمعية_سفراء_التطوع في تيسير مبادرة ""#كورنيش_الألوان"" بالوا…",2021-09-02 17:08:17+00:00,4,0,0,0,neutral,0.7698473930358887
